dataset,essay_id,text,score,normalized_score,score_band,essay_set,prompt_group,prompt_name,task,grade_level
ASAP++,388,"My last point would be that computers are a huge help for buisnesses. When files are lost or misplaced, the worker(s) can use the computer and bring up the back-up file. When they need to order supplies, most times they will go to a web site and order online. Or when updates are posted about up coming events in that company, an e-mail is sent out and is found using a computer. Many people think that people overuse their computers, but that the users fault not ours. We should choose how long were using one computers. Many jobs would be impossible with out computers. It's not about overusing them its about. So over all I say computers are good and very useful when used in the right hands.",7,0.5,MID,1.0,,,,
ASAP-AES,9615,"The author concludes with this paragraph to show her determination. When she says. when the snows melt and the geese return and his hibiscus is budding, then I will take that test again. Saeng is explaining how the geese have the determination to fly back and that the hibiscus has the determination to bud again so why shouldnt she have the determination and confidence to take the test again. Saeng said, I-I failed the test. It seems as if failing the driving test made her feel like she was going to fail in the new country. But after she saw the geeses and hibiscuss determination through harsh conditions, she was determined to try the test again.",2,0.6666666666666666,HIGH,4.0,CONSTRUCTED_RESPONSE,,,
ASAP-AES,6448,"The setting affected the cyclist greatly. He had no water and he was traveling through the high deserts of California in June. The deserts and no water could have been life-or-death to him, making him stressed and thirsty. Couple that with him biking, and you have yourself a dehydrated man in the desert! When he was between the ghost town and bait shop he says, There was no one in sight, not a building, car, or structure of any kind, This would make the cyclist think that there is no hope for his survival if he passed out. The deserts of California affects any cyclist greatly especially one without water like the cyclist in the story.",2,0.6666666666666666,HIGH,3.0,CONSTRUCTED_RESPONSE,,,
ASAP-AES,11926,"The mood in the memoir is very adventorous. In the memoir it showed how Narciso's parent's and relatives moved. At first Narciso lived in a furnished one-room apartment, then they could afford to move into a modest three-room apartment that was soon to be Narciso's home. Narciso was born in 1961, in the Ironbound section of Newark, New Jersey. Narciso grew up with his family for a while. ""Family"" had nothing to do with being a blood relative. Narciso will always be greatful and loving to his parents for what they did for him.",1,0.25,LOW,5.0,CONSTRUCTED_RESPONSE,,,
ASAP_2.0,AAAOPP13416000212067,"There were many things to choose from, such as: baseball, volleyball, table-tennis, fencing, and boxing. We also read, which helped us pass time. Again, I recomend this job for you. I am greatful for this opportunity. You will enjoy it if you like adventures. Oh, the places you'll see. The things you will do. They're great. So give it a try and tell me how it works out. Thanks!",3,0.5,MID,,,"""A Cowboy Who Rode the Waves""",Text dependent,6.0
ASAP-AES,4225,"My guess is no because you don't want to deal with that many people about one or two maybe even five books. I'm not saying that people don't get offened by somethings that books and movies say but, your going to have a lot more then just one person come in and say that there are more then just one book or movie. so then there would be no books left. What if you have someone come in and they request that they have a certain movie and you say ' @CAPS4, I'm sorry we had to take that movie off the self because, it offened someone.' I have a feeling that person is not going to be happy and you will have some explaining to do.",3,0.4,MID,2.0,HOLISTIC,,,
ASAP-AES,3359,"I think that if u feel like they are sayin bad thing that you should not read the books or magazines and dont lisen to the music and dont look at the moves. If you feel offensive about it just dont look at it because a porson might not find it offensive.It is port of life to look at something offensive so why do it now. I think that if they do that they might just take some @CAPS1.Vs shows off the air becuas there are a lot off shows out there that are offensive and some do not like that but they dont take it off the air so why take books music, movies, and magazines off the shelves.",2,0.2,LOW,2.0,HOLISTIC,,,
ASAP-AES,20793,"@CAPS1 and I walked down to the bank and stood there just staring at the water. @CAPS1 then asked if I wanted to hear a joke, and after a pause I said yes. The joke @CAPS1 told me probably should not be repeated but it made me laugh so hard I had trouble breathing. His timing was impeccable and it made my mood soar. I have always turned to my friends when I felt down. And there have always been there proving I can count on them. That day had been a disaster, but the rest of the night turned out to be far better then I had hoped. It is not only the fact that my friends can lift my mood, but it is also important that they make me laugh.",42,0.64,MID,8.0,NARRATIVE,,,
ASAP++,6291,"The features of the setting affect the cyclist greatly. One feature would be the dryness of the land. He was pedaling for such a long time that he became dehydrated, yet there was not a drop of water for he did not know how long and he didnt think he could make it that far. Another feature of the setting was the heat. He felt like he could not go on because the heat from the sun made him want to have a heat stroke. Clearly, the features of the setting did greatly impact the cyclist.",2,0.6666666666666666,HIGH,3.0,,,,
ASAP-AES,3564,"Although, censored books @MONTH1 have a great story behind them, the material that supports it can cause a dispute between different people who have different beliefs. Thousands of books are censored each year. Many of them have to do with different religions or races that people  have different opinions on. Libraries need to censor books to protect the iniscent minds of young childern",4,0.6,MID,2.0,HOLISTIC,,,
ASAP_2.0,AAAOPP13416000022702,"While one is in the car, we always want to make sure we get to our destination without any problems. Car accidents do not happen very often to people, but it is also not entirely rare. The features of the driverless car will ensure safety while driving at all times. Many people still text and drive, which is a big concern while on the road for you and for others also driving. When you have a driverless car, you can do what you need to do, and that includes sending a text. You will have a less risk of getting into an accident. Although the ""non-driving driver"" will not have to actually put their hands on the wheel because the car does all the work, the driver still has to be focused on the road.",5,0.8,HIGH,,,Driverless cars,Text dependent,10.0
ASAP++,4746,"Another reason is, @CAPS1 I go to the library I expect to get the book that I want to read not what others like. One time I went to the library and I was looking for a romantic book to read and I could not find it. So I went up and asked the lady at the counter and she said they do not have it anymore,and I asked why and she told me a lady found it wrong for children to be reading. In my opinon, maybe that lady did not even like romantic books.They should not just off of what one person believes. The next reason is, the library put the movie or book on the shelf in the first place because they thought people would enjoy it.",4,0.6,MID,2.0,,,,
ASAP-AES,21008," We all have had times when some thing happened and you just thought of it as a nuisance. But looking back on the same occurrence you just have to laugh at how silly it was. I recall one of these experiences when I went on a motorcycle camping trip this @DATE1. It was a bright and sunny day when my dad dropped me off at the beginning of the main logging road of the area. I decided to keep my pace slow and steady and just enjoy the beautiful scenery. Later that day I found a picturesque place to camp for a few nights on the river. In the @TIME1, I remembered some spurs off the main road from when I have driven with my brother in these woods and decided to go explore some of them near my camp.",40,0.6,MID,8.0,NARRATIVE,,,
ASAP_2.0,AAAOPP13416000038599,"Next time someone asks about driveless cars stop and think for awhile. Do you really want to change the nation so that you don't have to drive? Of course people would, but you have to think about all the cons of it. Do you really want to risk the safety of others or changing the laws you've been accustomed to for so many years? Do people really want the goverment to put all this money into this idea just so they can say its not completely driveless? After all, thats what everyone wants, a driveless car.",4,0.6,MID,,,Driverless cars,Text dependent,10.0
